Kabupaten/Kota,Total Nakes,Jumlah Lansia,Kepadatan Penduduk per km persegi (Km2),Jumlah Penyakit Menular
Lampung_Barat,1116,34672,150,19775.0
Tanggamus,1480,73692,227,6140.0
Lampung_Selatan,2428,122958,503,2420.0
Lampung_Timur,2044,126787,299,6759.0
Lampung_Tengah,3256,167566,334,7343.0
Lampung_Utara,2291,72553,247,25629.0
Way_Kanan,1411,54648,141,7723.0
Tulangbawang,1273,49473,145,4371.0
Pesawaran,1407,54958,388,51123.0
Pringsewu,1754,46678,688,16425.0
Mesuji,735,26496,110,9069.0
Tulang_Bawang_Barat,982,32809,238,24101.0
Pesisir_Barat,775,18940,59,16542.0
Kota_Bandar_Lampung,5728,133411,6609,8188.0
Kota_Metro,2115,19354,2400,39167.0
